song,artist,emotion
Second Heartbeat,Avenged Sevenfold,Anger
Dani California,Red Hot Chili Peppers,Anger
We're Through,Smile Empty Soul,Anger
The Price Of Beauty,Suicide Silence,Anger
Unanswered,Suicide Silence,Anger
...As The Crow Flies,Newsted,Anger
Smoke,Suicide Silence,Anger
O.c.d.,Suicide Silence,Anger
Bring Me To Life,Evanescence,Anger
Free Fallin' - Live at the Nokia Theatre,John Mayer,Anger
Breakdown,Seether,Anger
Smashed,Suicide Silence,Anger
Self Esteem,The Offspring,Anger
Going Under,Evanescence,Anger
Found You Out,Sir Sly,Anger
Edge Of A Revolution,Nickelback,Anger
Untitled,Dance Gavin Dance,Anger
Reign of Darkness,Thy Art Is Murder,Anger
Before I Forget,Slipknot,Anger
I Hate Everything About You,Three Days Grace,Anger
Fallande „nglarnas stad,Jocke,Anger
Animal I Have Become,Three Days Grace,Anger
Sock 'n' Doll,Kontrust,Anger
The Devil In I,Slipknot,Anger
Underklassmusik,Kartellen,Anger
Castratikron,Metalocalypse: Dethklok,Anger
St. Anger,Metallica,Anger
Back To The Primitive,Soulfly,Anger
Titan,Anup Sastry,Anger
Duality,Slipknot,Anger
Vicer Exciser,Whitechapel,Anger
Monster,Skillet,Anger
Psychosocial,Slipknot,Anger
Hail the Apocalypse,Avatar,Anger
Fuck Machine,Mindless Self Indulgence,Anger
Awake,Godsmack,Anger
People = Shit,Slipknot,Anger
Mascara,Deftones,Anger
The Bleeding,Five Finger Death Punch,Anger
Dark,Breaking Benjamin,Anger
Your Betrayal,Bullet For My Valentine,Anger
Down With The Sickness,Disturbed,Anger
Nothing For Me Here,Dope,Anger
Massachusetts,Silverstein,Anger
"Die, Bom, Bang, Burn, F***",Dope,Anger
You Raise Me Up,Westlife,Anger
Cool-Off,Yeng Constantino,Anger
Kingdom of Rust,Doves,Anger
Hail to the King,Avenged Sevenfold,Anger
Old No. 7,Jez Dior,Anger
Basic Instinct,The Acid,Anger
Die MF Die,Dope,Anger
The Vengeful One,Disturbed,Anger
My Funeral,Dope,Anger
Better Metal Snake,Metalocalypse: Dethklok,Anger
The Cyborg Slayers,Metalocalypse: Dethklok,Anger
The Unnamed Feeling,Metallica,Anger
Jekyll And Hyde,Five Finger Death Punch,Anger
Freak On a Leash,Korn,Anger
Riot,Three Days Grace,Anger
This Means War,Avenged Sevenfold,Anger
American Idiot,Green Day,Anger
How Could You Babe,Tobias Jesso Jr.,Anger
Bulls on Parade,Rage Against The Machine,Anger
Ex-Girlfriend,No Doubt,Anger
Snuff,Slipknot,Anger
Take The Power Back - Remastered,Rage Against The Machine,Anger
Break Stuff,Limp Bizkit,Anger
H†ngell†ten (feat. Mauro Scocco),Little Jinder,Anger
Voodoo,Godsmack,Anger
Indestructible,Disturbed,Anger
Ramlar,H†kan Hellstr”m,Anger
Lie To My Face,Carnifex,Anger
Murmaider II: The Water God,Metalocalypse: Dethklok,Anger
Walk,Pantera,Anger
Guts Over Fear,Eminem,Fear
Chandelier,Sia,Fear
(Don't Fear) The Reaper,Blue ™yster Cult,Fear
Elastic Heart,Sia,Fear
Fear Of The Dark - 1998 Remastered Version,Iron Maiden,Fear
Guts Over Fear,Eminem,Fear
Nothing Else Matters,Metallica,Fear
Nightmare,Avenged Sevenfold,Fear
See You Again (feat. Charlie Puth),Wiz Khalifa,Fear
Stressed Out,Twenty One Pilots,Fear
Hail to the King,Avenged Sevenfold,Fear
Bat Country,Avenged Sevenfold,Fear
The Sound Of Silence,Disturbed,Fear
Good Good Father,Chris Tomlin,Fear
Free the Animal,Sia,Fear
Whom Shall I Fear [God of Angel Armies],Chris Tomlin,Fear
Guts Over Fear,Eminem,Fear
Hurricane,Bob Dylan,Fear
Fear Not This Night,Freya Catherine,Fear
Lonely Day,System of a Down,Fear
Before I Forget,Slipknot,Fear
Thinking Out Loud,Ed Sheeran,Fear
White Rabbit,Jefferson Airplane,Fear
Face Everything And Rise,Papa Roach,Fear
Hallowed Be Thy Name - 1998 Remastered Version,Iron Maiden,Fear
I Stand Alone,Godsmack,Fear
You Make Me Brave (Studio Version),Bethel Music,Fear
Duality,Slipknot,Fear
Renegades,X Ambassadors,Fear
Bangarang (feat. Sirah),Skrillex,Fear
Renegades,X Ambassadors,Fear
Chop Suey!,System of a Down,Fear
No Role Modelz,J. Cole,Fear
Roses,The Chainsmokers,Fear
Shut Up and Dance,WALK THE MOON,Fear
The Passenger,Iggy Pop,Fear
Big Girls Cry,Sia,Fear
Photograph,Ed Sheeran,Fear
All of Me,John Legend,Fear
Welcome To The Family,Avenged Sevenfold,Fear
Hello,Adele,Fear
Fear Of The Dark - 1998 Remastered Version,Iron Maiden,Fear
Buried Alive,Avenged Sevenfold,Fear
Dressed In Black,Sia,Fear
Fire Meet Gasoline,Sia,Fear
How Great Is Our God,Chris Tomlin,Fear
Hotel California,Eagles,Fear
Hostage,Sia,Fear
Down With The Sickness,Disturbed,Fear
The Trooper - 1998 Remastered Version,Iron Maiden,Fear
Another Love,Tom Odell,Fear
Be Gone Dull Cage - Walker Version,Kiev,Fear
Fade To Black,Metallica,Fear
Little Wing,Jimi Hendrix,Fear
CASTLE OF GLASS,Linkin Park,Fear
The Scientist,Coldplay,Fear
Snuff,Slipknot,Fear
En livstid i krig,Sabaton,Fear
Killing In The Name - Remastered,Rage Against The Machine,Fear
So Far Away,Avenged Sevenfold,Fear
On Top Of The World,Imagine Dragons,Fear
Eye of the Needle,Sia,Fear
Run,Daughter,Fear
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Fear
Enjoy the Silence - Remastered,Depeche Mode,Fear
Gravity,Papa Roach,Fear
Paperdoll,Fear Of Domination,Fear
I Am Not Alone - Live,Kari Jobe,Fear
Sugar (feat. Francesco Yates),Robin Schulz,Fear
The Judge,Twenty One Pilots,Fear
Run to the Hills - 1998 Remastered Version,Iron Maiden,Fear
Creeping Death,Metallica,Fear
The Unforgiven,Metallica,Fear
Be Quick Or Be Dead - 1998 Remastered Version,Iron Maiden,Fear
Wish You Were Here - 2011 Remastered Version,Pink Floyd,Fear
Lead Me to the Cross,Hillsong United,Fear
The Number Of The Beast - 1998 Remastered Version,Iron Maiden,Fear
Ni**as In Paris,JAY Z,Fear
Coming Home,Diddy - Dirty Money,Fear
The Hills,The Weeknd,Fear
Only One,Yellowcard,Fear
I Wanna Be Your Dog,The Stooges,Fear
No Other Name - Live,Hillsong Worship,Fear
Cellophane,Sia,Fear
The Monster,Eminem,Fear
Shepherd (Live),Amanda Cook,Fear
Straight for the Knife,Sia,Fear
Sorry,Justin Bieber,Fear
Welcome To The Black Parade,My Chemical Romance,Fear
Stay With Me,Sam Smith,Fear
Afraid To Shoot Strangers - 1998 Remastered Version,Iron Maiden,Fear
For What It's Worth,Buffalo Springfield,Fear
Heavydirtysoul,Twenty One Pilots,Fear
Adventure Of A Lifetime,Coldplay,Fear
Unstoppable,Sia,Fear
Centuries,Fall Out Boy,Fear
Hey Brother,Avicii,Fear
Somebody to Love,Jefferson Airplane,Fear
Emma Blowgun's Last Stand,Beulah,Fear
(Don't Fear) The Reaper,Blue ™yster Cult,Fear
You're So Vain,Carly Simon,Disgust
All Of The Lights,Kanye West,Disgust
Daylight,Aesop Rock,Disgust
Say My Name,Destiny's Child,Disgust
Feel Good Inc,Gorillaz,Disgust
I Hate Everything About You,Three Days Grace,Disgust
Still Don?t Seem To Care,Talk In Tongues,Disgust
Pretty On The Outside,Bullet For My Valentine,Disgust
Boneyards,Parkway Drive,Disgust
Cold Shoulder,Adele,Disgust
Unhappy Birthday - 2011 Remastered Version,The Smiths,Disgust
Reject,Green Day,Disgust
"Honey, This Mirror Isn't Big Enough For The Two Of Us",My Chemical Romance,Disgust
Call Me When You're Sober,Evanescence,Disgust
That's What You Get,Paramore,Disgust
Since U Been Gone,Kelly Clarkson,Disgust
Guilty Pleasure,Cobra Starship,Disgust
SuperGirl,Saving Jane,Disgust
Keeps Gettin' Better,Christina Aguilera,Disgust
Jealous,Nick Jonas,Disgust
Pumped up Kicks,Foster The People,Disgust
Jar of Hearts,Christina Perri,Disgust
Before He Cheats,Carrie Underwood,Disgust
Problem,Ariana Grande,Disgust
I'm Not The Only One,Sam Smith,Disgust
First Day of School,Michael Giacchino,Disgust
Sam (Is Dead),Odd Future,Disgust
Talk That Talk,Rihanna,Disgust
Where Them Girls At - feat. Nicki Minaj & Flo Rida,David Guetta,Disgust
I Just Wanna F. - feat. Timbaland & Dev,David Guetta,Disgust
Take over Control - Radio Edit,Afrojack,Disgust
Rack City,Tyga,Disgust
Bangarang (feat. Sirah),Skrillex,Disgust
Look At Me Now,Chris Brown,Disgust
Made Of - Radio Edit,Nause,Disgust
Scary Monsters And Nice Sprites,Skrillex,Disgust
Dance (A$$) Remix,Big Sean,Disgust
Cinema - Radio Edit,Benny Benassi,Disgust
Princess of China,Coldplay,Disgust
Promises,NERO,Disgust
Till The World Ends (the Femme Fatale Remix),Britney Spears,Disgust
Where Have You Been,Rihanna,Disgust
We Found Love,Rihanna,Disgust
Mr. Brightside,The Killers,Disgust
Larger Than Life,Backstreet Boys,Disgust
All Good Things (Come To An End),Nelly Furtado,Disgust
Really Don't Care,Demi Lovato,Disgust
Somebody Told Me,The Killers,Disgust
When You Were Young,The Killers,Disgust
With Every Heartbeat (feat. Robyn),Kleerup,Disgust
Run the World (Girls),Beyonc‚,Disgust
Don't Speak,No Doubt,Disgust
Yeah!,Usher,Disgust
Bitter Sweet Symphony - 2004 Digital Remaster,The Verve,Disgust
Levels - Radio Edit,Avicii,Disgust
In And Out Of Love (Radio edit),Armin van Buuren,Disgust
Escape Me,Ti‰sto feat. C.C. Sheffield,Disgust
Black And Yellow,Wiz Khalifa,Disgust
Like A G6,Far East Movement,Disgust
Drops of Jupiter,Train,Disgust
I'm Like A Bird,Nelly Furtado,Disgust
Maneater,Nelly Furtado,Disgust
Hey Ya! - Radio Mix / Club Mix,OutKast,Disgust
Bootylicious,Destiny's Child,Disgust
Jealous (I Ain't With It),Chromeo,Disgust
What You Waiting For?,Gwen Stefani,Disgust
Sweet Dreams (Are Made of This),Eurythmics,Disgust
This World Is Watching Me - Radio Edit,Armin van Buuren,Disgust
Be My Lover,La Bouche,Disgust
Your Woman,White Town,Disgust
Children,Robert Miles,Disgust
Every Morning - Remastered,Sugar Ray,Disgust
Killing Me Softly with His Song,Fugees,Disgust
Angel,Shaggy,Disgust
Teenage Dirtbag - Explicit Album Version,Wheatus,Disgust
Waterfalls - Single Edit,TLC,Disgust
Push It,Salt-N-Pepa,Disgust
Gonna Make You Sweat (Everybody Dance Now) - The Slammin' Vocal Club Mix,C & C Music Factory,Disgust
Sandstorm,Darude,Disgust
Butterfly,Crazy Town,Disgust
FML,deadmau5,Disgust
When You Hear The Bassline,Major Lazer,Disgust
Feel The Love (feat. John Newman),Rudimental,Disgust
Original Don,Major Lazer,Disgust
No Problem,Chase & Status,Disgust
Feel So Close - Radio Edit,Calvin Harris,Disgust
Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),Kid Cudi,Disgust
Rehab,Rihanna,Disgust
Pon De Replay,Rihanna,Disgust
Lady Marmalade - Moulin Rouge/Soundtrack Version,Christina Aguilera,Disgust
Soldier - Radio Edit,Destiny's Child,Disgust
Bootylicious,Destiny's Child,Disgust
Video Phone,Beyonc‚,Disgust
Champagne Showers,LMFAO,Disgust
Pressure - Alesso Remix,Nadia Ali,Disgust
Levels - Skrillex Remix,Avicii,Disgust
Blind Faith,Chase & Status,Disgust
Little Bad Girl - Instrumental Edit,David Guetta,Disgust
Heartbreaker,MSTRKRFT,Disgust
I Remember,deadmau5,Disgust
Photograph,Ed Sheeran,Sadness
The Scientist,Coldplay,Sadness
Fix You,Coldplay,Sadness
Hello,Adele,Sadness
How to Save a Life,The Fray,Sadness
Say Something,A Great Big World,Sadness
Thinking Out Loud,Ed Sheeran,Sadness
All of Me,John Legend,Sadness
Summertime Sadness,Lana Del Rey,Sadness
You Found Me,The Fray,Sadness
Someone Like You,Adele,Sadness
Yellow,Coldplay,Sadness
Stressed Out,Twenty One Pilots,Sadness
A Drop In The Ocean,Ron Pope,Sadness
Never Say Never,The Fray,Sadness
Jar of Hearts,Christina Perri,Sadness
Not About Angels,Birdy,Sadness
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,Lana Del Rey,Sadness
7 Years,Lukas Graham,Sadness
I See Fire,Ed Sheeran,Sadness
I'm Not The Only One,Sam Smith,Sadness
Skinny Love,Birdy,Sadness
Hello,Adele,Sadness
Goodbye My Lover,James Blunt,Sadness
Jealous,Labrinth,Sadness
When I Was Your Man,Bruno Mars,Sadness
Elastic Heart,Sia,Sadness
Someone Like You,Adele,Sadness
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,Lana Del Rey,Sadness
Video Games,Lana Del Rey,Sadness
Young And Beautiful,Lana Del Rey,Sadness
Let Her Go,Passenger,Sadness
I'm A Mess,Ed Sheeran,Sadness
Let Her Go,Passenger,Sadness
The Hills,The Weeknd,Sadness
Like I'm Gonna Lose You,Meghan Trainor,Sadness
I Will Follow You Into The Dark,Death Cab for Cutie,Sadness
Say Something,A Great Big World,Sadness
I Won't Give Up,Jason Mraz,Sadness
Take Me To Church,Hozier,Sadness
All I Want,Kodaline,Sadness
Skinny Love,Bon Iver,Sadness
Tenerife Sea,Ed Sheeran,Sadness
River Flows In You - Original,Yiruma,Sadness
Chasing Cars,Snow Patrol,Sadness
Wake Me Up When September Ends,Green Day,Sadness
Stay With Me,Sam Smith,Sadness
Adore You,Miley Cyrus,Sadness
Another Love,Tom Odell,Sadness
PILLOWTALK,ZAYN,Sadness
The Only Exception,Paramore,Sadness
All I Want,Kodaline,Sadness
Lost Boy,Ruth B,Sadness
Can't Help Falling in Love,Haley Reinhart,Sadness
Stitches,Shawn Mendes,Sadness
Terrible Things,Mayday Parade,Sadness
Give Me Love,Ed Sheeran,Sadness
Iris,The Goo Goo Dolls,Sadness
Let It Go,James Bay,Sadness
Breathe Me,Sia,Sadness
See You Again (feat. Charlie Puth),Wiz Khalifa,Sadness
I Hate U I Love U (feat. Olivia O'Brien),gnash,Sadness
Chasing Cars,Snow Patrol,Sadness
Chandelier,Sia,Sadness
Little Do You Know,Alex & Sierra,Sadness
Stay,Rihanna,Sadness
Look After You,The Fray,Sadness
Demons,Imagine Dragons,Sadness
"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,Sadness
Cool Kids,Echosmith,Sadness
Creep,Radiohead,Sadness
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Sadness
Do I Wanna Know?,Arctic Monkeys,Sadness
She Will Be Loved,Maroon 5,Sadness
Just Give Me a Reason,P!nk,Sadness
Born To Die,Lana Del Rey,Sadness
Faded,Alan Walker,Sadness
The Funeral,Band of Horses,Sadness
Amnesia,5 Seconds of Summer,Sadness
Let It All Go,Birdy,Sadness
Nothing Else Matters,Metallica,Sadness
Summertime Sadness,Lana Del Rey,Sadness
Love Yourself,Justin Bieber,Sadness
Can't Feel My Face,The Weeknd,Sadness
When We Were Young,Adele,Sadness
Roses,The Chainsmokers,Sadness
"Flightless Bird, American Mouth",Iron & Wine,Sadness
Stay With Me,Sam Smith,Sadness
Paradise,Coldplay,Sadness
My Immortal,Evanescence,Sadness
A Thousand Years,Christina Perri,Sadness
Breathe Me,Sia,Sadness
Turning Tables,Adele,Sadness
Stay,Rihanna,Sadness
When You're Gone,Avril Lavigne,Sadness
Firestone,Kygo,Sadness
You're Beautiful,James Blunt,Sadness
9 Crimes,Damien Rice,Sadness
People Help The People,Birdy,Sadness
Dark Times,The Weeknd,Sadness
